Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Notes,Image links
C-936,,,,,,,,,,,,
C-937,1998,Ford E-350/McCoy Miller,,Ambulance 5 (1998 - 2002),Spare ambulance,6 - 4 - 18 Support Services,,,,,Still in service as spare 2/8/2006; carries Segway scooters or bicycles for paramedics at special events; pulse graphics removed,Spare ambulance (Dave Traiforos) 6-4-18 (Hank Sajovic)
C-938,,,,,,,,,,,,
C-939,,,,,,,,,,,,
C-940,1998,Ford E-350/McCoy Miller,,Ambulance 34,,,,,,,Sold at auction 4/24/2004,
C-941,1998,Ford E-350/McCoy Miller,,,Spare ambulance,,,,,,Sold at auction 4/30/2005,
C-942,1998,Ford E-350/McCoy Miller,,Ambulance 57,Spare ambulance,Reserve ambulance (O’Hare),,,,,"Still used as spare in 2012; seen in storage at O’Hare on 6/24/2015, with pulse graphics & strobes maintained",
C-943,,,,,,,,,,,,
C-944,,,,,,,,,,,,
C-945,,,,,,,,,,,,
C-946,,,,,,,,,,,,
C-947,1999,Ford E-350/McCoy Miller,,,Spare ambulance,,,,,,Sold at auction 7/17/2004,
C-948,,,,,,,,,,,,
C-949,,,,,,,,,,,,
C-950,1999,Ford E-350/McCoy Miller,,Ambulance 46,,,,,,,,
C-951,1999,Ford E-350/McCoy Miller,,,Spare ambulance,,,,,,Sold at auction 3/20/2004,
